stopwords_removed,3-gram
"['maaf', 'motoon', 'inanilahi', 'mati', 'pensi', 'cpe', 'naik', 'trun', 'naik', 'trun', 'bismilah', 'mti']","['cpe_naik_trun', 'inanilahi_mati_pensi', 'maaf_motoon_inanilahi', 'mati_pensi_cpe', 'motoon_inanilahi_mati', 'naik_trun_bismilah', 'naik_trun_naik', 'pensi_cpe_naik', 'trun_bismilah_mti', 'trun_naik_trun']"
"['minimal', 'lgi']",[]
"['tolol', 'musuh', 'susah', 'kasi', 'ws']","['musuh_susah_kasi', 'susah_kasi_ws', 'tolol_musuh_susah']"
"['goblog', 'pusing']",[]
"['ramah', 'sombong']",[]
['lostrek'],[]
"['hadeh', 'bayak', 'gelap', 'epik', 'gj', 'jelas', 'lus']","['bayak_gelap_epik', 'epik_gj_jelas', 'gelap_epik_gj', 'gj_jelas_lus', 'hadeh_bayak_gelap']"
"['sang', 'at', 'bail', 'mi']","['at_bail_mi', 'sang_at_bail']"
"['timgak', 'amin']",[]
['bagus'],[]
"['mantap', 'sakuramba']",[]
"['pilih', 'anjg']",[]
"['sinyal', 'bagus', 'standart', 'kenapa', 'lag', 'akibat', 'hitung', 'afk', 'rugi', 'nyari', 'senang', 'stres']","['afk_rugi_nyari', 'akibat_hitung_afk', 'bagus_standart_kenapa', 'hitung_afk_rugi', 'kenapa_lag_akibat', 'lag_akibat_hitung', 'nyari_senang_stres', 'rugi_nyari_senang', 'sinyal_bagus_standart', 'standart_kenapa_lag']"
"['kalah', 'gara', 'gara', 'jago', 'bae', 'musuh', 'drack', 'semua']","['bae_musuh_drack', 'gara_gara_jago', 'gara_jago_bae', 'jago_bae_musuh', 'kalah_gara_gara', 'musuh_drack_semua']"
['adil'],[]
"['seru', 'banget']",[]
"['bagus', 'suka', 'makanya', 'jgn', 'bot', 'sudah', 'kg', 'bs', 'dongoo']","['bagus_suka_makanya', 'bot_sudah_kg', 'jgn_bot_sudah', 'kg_bs_dongoo', 'makanya_jgn_bot', 'sudah_kg_bs', 'suka_makanya_jgn']"
"['susah', 'banget', 'masuk', 'makin', 'berat']","['banget_masuk_makin', 'masuk_makin_berat', 'susah_banget_masuk']"
