stopwords_removed,unigrams_hok
"['bang', 'tepat', 'janji', 'mu', 'banyak', 'skin', 'gratis', 'cuma', 'kasi', 'skin', 'banyak', 'jarak', 'jauh', 'iklan', 'banyak', 'skin', 'gratis', 'bajingngan']","[('bang',), ('tepat',), ('janji',), ('mu',), ('banyak',), ('skin',), ('gratis',), ('cuma',), ('kasi',), ('skin',), ('banyak',), ('jarak',), ('jauh',), ('iklan',), ('banyak',), ('skin',), ('gratis',), ('bajingngan',)]"
['mantap'],"[('mantap',)]"
"['feel', 'dalam', 'kurang', 'asa', 'sehingga', 'enjoyble', 'dalam']","[('feel',), ('dalam',), ('kurang',), ('asa',), ('sehingga',), ('enjoyble',), ('dalam',)]"
"['kurang', 'bagus', 'baru', 'sudah', 'patah', 'patah', 'bagus', 'lo', 'bagus', 'lag', 'patah', 'patah', 'kocak']","[('kurang',), ('bagus',), ('baru',), ('sudah',), ('patah',), ('patah',), ('bagus',), ('lo',), ('bagus',), ('lag',), ('patah',), ('patah',), ('kocak',)]"
"['boot', 'menang', 'pernah', 'payah', 'imbang']","[('boot',), ('menang',), ('pernah',), ('payah',), ('imbang',)]"
"['bagus', 'seru']","[('bagus',), ('seru',)]"
"['please', 'make', 'fairer']","[('please',), ('make',), ('fairer',)]"
"['bagus', 'banget', 'mana', 'offline']","[('bagus',), ('banget',), ('mana',), ('offline',)]"
"['nilai', 'hukum', 'masuk', 'akal', 'force', 'close', 'signal', 'towing']","[('nilai',), ('hukum',), ('masuk',), ('akal',), ('force',), ('close',), ('signal',), ('towing',)]"
"['bintang', 'lama', 'ken', 'akun', 'hilang', 'akun', 'google', 'ingat', 'nyambungin', 'mana', 'agak', 'kesal', 'akun', 'kerenlevel', 'infinity', 'jaga', 'signature', 'nyabuat', 'pensi', 'haru', 'pensi', 'habis', 'kapan', 'hapus', 'akun', 'agak', 'nyesel', 'pernah', 'sumpah', 'muak', 'gimana']","[('bintang',), ('lama',), ('ken',), ('akun',), ('hilang',), ('akun',), ('google',), ('ingat',), ('nyambungin',), ('mana',), ('agak',), ('kesal',), ('akun',), ('kerenlevel',), ('infinity',), ('jaga',), ('signature',), ('nyabuat',), ('pensi',), ('haru',), ('pensi',), ('habis',), ('kapan',), ('hapus',), ('akun',), ('agak',), ('nyesel',), ('pernah',), ('sumpah',), ('muak',), ('gimana',)]"
"['heran', 'lawan', 'terlalu', 'kuat', 'dage', 'lawan', 'terlalu', 'tinggi', 'satu', 'serang', 'langsung', 'mati']","[('heran',), ('lawan',), ('terlalu',), ('kuat',), ('dage',), ('lawan',), ('terlalu',), ('tinggi',), ('satu',), ('serang',), ('langsung',), ('mati',)]"
"['berat', 'banget', 'ui', 'fc', 'belum', 'optimal']","[('berat',), ('banget',), ('ui',), ('fc',), ('belum',), ('optimal',)]"
"['oke', 'matsmeking', 'sudah', 'bagus', 'tanks', 'respon', 'cepet', 'lajutkan', 'mets', 'meking', 'adil', 'vs', 'jan', 'skin', 'bayakin', 'metsmeking', 'ancur', 'bintang', 'metsmeking']","[('oke',), ('matsmeking',), ('sudah',), ('bagus',), ('tanks',), ('respon',), ('cepet',), ('lajutkan',), ('mets',), ('meking',), ('adil',), ('vs',), ('jan',), ('skin',), ('bayakin',), ('metsmeking',), ('ancur',), ('bintang',), ('metsmeking',)]"
"['masalah', 'yahh', 'lag', 'sendiri', 'ping', 'hijau', 'truss', 'crash', 'sudah', 'gtu', 'langsung', 'kluar', 'dri', 'sendiri', 'sudah', 'turunin', 'grafik', 'ttep', 'gda', 'masalah', 'dri']","[('masalah',), ('yahh',), ('lag',), ('sendiri',), ('ping',), ('hijau',), ('truss',), ('crash',), ('sudah',), ('gtu',), ('langsung',), ('kluar',), ('dri',), ('sendiri',), ('sudah',), ('turunin',), ('grafik',), ('ttep',), ('gda',), ('masalah',), ('dri',)]"
['kacau'],"[('kacau',)]"
"['makin', 'jelas', 'report', 'sengaja', 'laku', 'feeding', 'nilai', 'sapa', 'laku', 'feeding']","[('makin',), ('jelas',), ('report',), ('sengaja',), ('laku',), ('feeding',), ('nilai',), ('sapa',), ('laku',), ('feeding',)]"
"['suka', 'walaupun', 'suka', 'bug', 'tetapi', 'keren', 'banget', 'mohon', 'maaf', 'bugnge', 'lag', 'tolong', 'baik', 'biar', 'semua', 'senang', 'hati', 'terimakasih', 'sudah']","[('suka',), ('walaupun',), ('suka',), ('bug',), ('tetapi',), ('keren',), ('banget',), ('mohon',), ('maaf',), ('bugnge',), ('lag',), ('tolong',), ('baik',), ('biar',), ('semua',), ('senang',), ('hati',), ('terimakasih',), ('sudah',)]"
"['kurang', 'update', 'jika']","[('kurang',), ('update',), ('jika',)]"
"['baik', 'buruk', 'anomali', 'butuh', 'saran', 'butuh', 'sedikit', 'ubah']","[('baik',), ('buruk',), ('anomali',), ('butuh',), ('saran',), ('butuh',), ('sedikit',), ('ubah',)]"
"['makin', 'sinyal', 'makin', 'buruk', 'masa', 'sinyal', 'hijau', 'lag', 'patah', 'bukan', 'patah', 'masalah', 'masalah']","[('makin',), ('sinyal',), ('makin',), ('buruk',), ('masa',), ('sinyal',), ('hijau',), ('lag',), ('patah',), ('bukan',), ('patah',), ('masalah',), ('masalah',)]"
"['musuh', 'benar', 'jangan', 'buruk', 'musuh', 'ngotak', 'skill', 'satu', 'khusus', 'gold', 'gold', 'jangan', 'campur', 'burikk', 'sudah', 'rekomen']","[('musuh',), ('benar',), ('jangan',), ('buruk',), ('musuh',), ('ngotak',), ('skill',), ('satu',), ('khusus',), ('gold',), ('gold',), ('jangan',), ('campur',), ('burikk',), ('sudah',), ('rekomen',)]"
"['draft', 'mu', 'nyatuin', 'bot', 'trs', 'nob', 'stres', 'mantan', 'gm', 'kecewa', 'pngen']","[('draft',), ('mu',), ('nyatuin',), ('bot',), ('trs',), ('nob',), ('stres',), ('mantan',), ('gm',), ('kecewa',), ('pngen',)]"
