stopwords_removed,bigrams_hok
"['heran', 'lawan', 'terlalu', 'kuat', 'dage', 'lawan', 'terlalu', 'tinggi', 'satu', 'serang', 'langsung', 'mati']","[('heran', 'lawan'), ('lawan', 'terlalu'), ('terlalu', 'kuat'), ('kuat', 'dage'), ('dage', 'lawan'), ('lawan', 'terlalu'), ('terlalu', 'tinggi'), ('tinggi', 'satu'), ('satu', 'serang'), ('serang', 'langsung'), ('langsung', 'mati')]"
"['berat', 'banget', 'ui', 'fc', 'belum', 'optimal']","[('berat', 'banget'), ('banget', 'ui'), ('ui', 'fc'), ('fc', 'belum'), ('belum', 'optimal')]"
"['oke', 'matsmeking', 'sudah', 'bagus', 'tanks', 'respon', 'cepet', 'lajutkan', 'mets', 'meking', 'adil', 'vs', 'jan', 'skin', 'bayakin', 'metsmeking', 'ancur', 'bintang', 'metsmeking']","[('oke', 'matsmeking'), ('matsmeking', 'sudah'), ('sudah', 'bagus'), ('bagus', 'tanks'), ('tanks', 'respon'), ('respon', 'cepet'), ('cepet', 'lajutkan'), ('lajutkan', 'mets'), ('mets', 'meking'), ('meking', 'adil'), ('adil', 'vs'), ('vs', 'jan'), ('jan', 'skin'), ('skin', 'bayakin'), ('bayakin', 'metsmeking'), ('metsmeking', 'ancur'), ('ancur', 'bintang'), ('bintang', 'metsmeking')]"
"['masalah', 'yahh', 'lag', 'sendiri', 'ping', 'hijau', 'truss', 'crash', 'sudah', 'gtu', 'langsung', 'kluar', 'dri', 'sendiri', 'sudah', 'turunin', 'grafik', 'ttep', 'gda', 'masalah', 'dri']","[('masalah', 'yahh'), ('yahh', 'lag'), ('lag', 'sendiri'), ('sendiri', 'ping'), ('ping', 'hijau'), ('hijau', 'truss'), ('truss', 'crash'), ('crash', 'sudah'), ('sudah', 'gtu'), ('gtu', 'langsung'), ('langsung', 'kluar'), ('kluar', 'dri'), ('dri', 'sendiri'), ('sendiri', 'sudah'), ('sudah', 'turunin'), ('turunin', 'grafik'), ('grafik', 'ttep'), ('ttep', 'gda'), ('gda', 'masalah'), ('masalah', 'dri')]"
['kacau'],[]
"['makin', 'jelas', 'report', 'sengaja', 'laku', 'feeding', 'nilai', 'sapa', 'laku', 'feeding']","[('makin', 'jelas'), ('jelas', 'report'), ('report', 'sengaja'), ('sengaja', 'laku'), ('laku', 'feeding'), ('feeding', 'nilai'), ('nilai', 'sapa'), ('sapa', 'laku'), ('laku', 'feeding')]"
"['suka', 'walaupun', 'suka', 'bug', 'tetapi', 'keren', 'banget', 'mohon', 'maaf', 'bugnge', 'lag', 'tolong', 'baik', 'biar', 'semua', 'senang', 'hati', 'terimakasih', 'sudah']","[('suka', 'walaupun'), ('walaupun', 'suka'), ('suka', 'bug'), ('bug', 'tetapi'), ('tetapi', 'keren'), ('keren', 'banget'), ('banget', 'mohon'), ('mohon', 'maaf'), ('maaf', 'bugnge'), ('bugnge', 'lag'), ('lag', 'tolong'), ('tolong', 'baik'), ('baik', 'biar'), ('biar', 'semua'), ('semua', 'senang'), ('senang', 'hati'), ('hati', 'terimakasih'), ('terimakasih', 'sudah')]"
"['kurang', 'update', 'jika']","[('kurang', 'update'), ('update', 'jika')]"
"['baik', 'buruk', 'anomali', 'butuh', 'saran', 'butuh', 'sedikit', 'ubah']","[('baik', 'buruk'), ('buruk', 'anomali'), ('anomali', 'butuh'), ('butuh', 'saran'), ('saran', 'butuh'), ('butuh', 'sedikit'), ('sedikit', 'ubah')]"
"['makin', 'sinyal', 'makin', 'buruk', 'masa', 'sinyal', 'hijau', 'lag', 'patah', 'bukan', 'patah', 'masalah', 'masalah']","[('makin', 'sinyal'), ('sinyal', 'makin'), ('makin', 'buruk'), ('buruk', 'masa'), ('masa', 'sinyal'), ('sinyal', 'hijau'), ('hijau', 'lag'), ('lag', 'patah'), ('patah', 'bukan'), ('bukan', 'patah'), ('patah', 'masalah'), ('masalah', 'masalah')]"
"['musuh', 'benar', 'jangan', 'buruk', 'musuh', 'ngotak', 'skill', 'satu', 'khusus', 'gold', 'gold', 'jangan', 'campur', 'burikk', 'sudah', 'rekomen']","[('musuh', 'benar'), ('benar', 'jangan'), ('jangan', 'buruk'), ('buruk', 'musuh'), ('musuh', 'ngotak'), ('ngotak', 'skill'), ('skill', 'satu'), ('satu', 'khusus'), ('khusus', 'gold'), ('gold', 'gold'), ('gold', 'jangan'), ('jangan', 'campur'), ('campur', 'burikk'), ('burikk', 'sudah'), ('sudah', 'rekomen')]"
"['draft', 'mu', 'nyatuin', 'bot', 'trs', 'nob', 'stres', 'mantan', 'gm', 'kecewa', 'pngen']","[('draft', 'mu'), ('mu', 'nyatuin'), ('nyatuin', 'bot'), ('bot', 'trs'), ('trs', 'nob'), ('nob', 'stres'), ('stres', 'mantan'), ('mantan', 'gm'), ('gm', 'kecewa'), ('kecewa', 'pngen')]"
