stopwords_removed,bigrams_mlbb
"['kotol', 'lose', 'lose', 'moga', 'ceper', 'mati', 'nonton']","[('kotol', 'lose'), ('lose', 'lose'), ('lose', 'moga'), ('moga', 'ceper'), ('ceper', 'mati'), ('mati', 'nonton')]"
['tai'],[]
['bantu'],[]
"['tolong', 'baik']","[('tolong', 'baik')]"
"['bagus', 'ampe', 'ratarata', 'playernya', 'sdm', 'turun']","[('bagus', 'ampe'), ('ampe', 'ratarata'), ('ratarata', 'playernya'), ('playernya', 'sdm'), ('sdm', 'turun')]"
"['wah', 'keren', 'banget', 'ruang', 'clasik', 'brawel', 'arkade', 'tang', 'kasing', 'bintang', 'lima', 'musuh', 'botsemua', 'padaha', 'tang', 'epik', 'kenapa', 'musuh', 'bot']","[('wah', 'keren'), ('keren', 'banget'), ('banget', 'ruang'), ('ruang', 'clasik'), ('clasik', 'brawel'), ('brawel', 'arkade'), ('arkade', 'tang'), ('tang', 'kasing'), ('kasing', 'bintang'), ('bintang', 'lima'), ('lima', 'musuh'), ('musuh', 'botsemua'), ('botsemua', 'padaha'), ('padaha', 'tang'), ('tang', 'epik'), ('epik', 'kenapa'), ('kenapa', 'musuh'), ('musuh', 'bot')]"
"['babi', 'selalu', 'sampah']","[('babi', 'selalu'), ('selalu', 'sampah')]"
"['hampir', 'semuah', 'gelap', 'kecewa']","[('hampir', 'semuah'), ('semuah', 'gelap'), ('gelap', 'kecewa')]"
"['rusak', 'rusak']","[('rusak', 'rusak')]"
"['kenapa', 'selalu', 'bot', 'capek']","[('kenapa', 'selalu'), ('selalu', 'bot'), ('bot', 'capek')]"
['bagong'],[]
"['gelap', 'banyak']","[('gelap', 'banyak')]"
"['banyak', 'darksistem', 'n', 'lag']","[('banyak', 'darksistem'), ('darksistem', 'n'), ('n', 'lag')]"
"['skrng', 'suka', 'lag', 'pdahl', 'bukak', 'apk', 'lain', 'lancaraja']","[('skrng', 'suka'), ('suka', 'lag'), ('lag', 'pdahl'), ('pdahl', 'bukak'), ('bukak', 'apk'), ('apk', 'lain'), ('lain', 'lancaraja')]"
"['bagus', 'semua', 'dowlodtannya', 'selalu', 'hilang', 'tinggal', 'sekolah', 'smp', 'hilang', 'mohon', 'baik', 'moga', 'perhati', 'segitu', 'mohon', 'kerja']","[('bagus', 'semua'), ('semua', 'dowlodtannya'), ('dowlodtannya', 'selalu'), ('selalu', 'hilang'), ('hilang', 'tinggal'), ('tinggal', 'sekolah'), ('sekolah', 'smp'), ('smp', 'hilang'), ('hilang', 'mohon'), ('mohon', 'baik'), ('baik', 'moga'), ('moga', 'perhati'), ('perhati', 'segitu'), ('segitu', 'mohon'), ('mohon', 'kerja')]"
"['seru', 'iklann', 'skin', 'banyakk', 'lukas', 'zilong', 'lain', 'lain']","[('seru', 'iklann'), ('iklann', 'skin'), ('skin', 'banyakk'), ('banyakk', 'lukas'), ('lukas', 'zilong'), ('zilong', 'lain'), ('lain', 'lain')]"
"['makin', 'ancor', 'laq', 'sekrang', 'bagus']","[('makin', 'ancor'), ('ancor', 'laq'), ('laq', 'sekrang'), ('sekrang', 'bagus')]"
"['makin', 'makin', 'buruk', 'selalu', 'lag', 'mulai', 'jengkel']","[('makin', 'makin'), ('makin', 'buruk'), ('buruk', 'selalu'), ('selalu', 'lag'), ('lag', 'mulai'), ('mulai', 'jengkel')]"
"['kenapa', 'musuh', 'skin', 'skin', 'gaje', 'sekarang']","[('kenapa', 'musuh'), ('musuh', 'skin'), ('skin', 'skin'), ('skin', 'gaje'), ('gaje', 'sekarang')]"
"['jelas', 'sinyal', 'lag', 'dalem', 'buruk']","[('jelas', 'sinyal'), ('sinyal', 'lag'), ('lag', 'dalem'), ('dalem', 'buruk')]"
"['kon', 'ol', 'anjg', 'lag', 'parah', 'c', 'k']","[('kon', 'ol'), ('ol', 'anjg'), ('anjg', 'lag'), ('lag', 'parah'), ('parah', 'c'), ('c', 'k')]"
"['lumayan', 'bagus', 'tipe', 'banget', 'rating', 'lebih', 'enak', 'king', 'segi', 'gamplay', 'bagus']","[('lumayan', 'bagus'), ('bagus', 'tipe'), ('tipe', 'banget'), ('banget', 'rating'), ('rating', 'lebih'), ('lebih', 'enak'), ('enak', 'king'), ('king', 'segi'), ('segi', 'gamplay'), ('gamplay', 'bagus')]"
['draksistem'],[]
"['jelas', 'gelap', 'semua', 'gendong']","[('jelas', 'gelap'), ('gelap', 'semua'), ('semua', 'gendong')]"
"['ilang', 'signal']","[('ilang', 'signal')]"
"['woy', 'kenapa', 'makin', 'makin', 'lag', 'sinyal', 'pdhal', 'kouta', 'byk', 'sinyal', 'hijau', 'kenapa', 'lag', 'skin', 'banyak', 'lag', 'biarin']","[('woy', 'kenapa'), ('kenapa', 'makin'), ('makin', 'makin'), ('makin', 'lag'), ('lag', 'sinyal'), ('sinyal', 'pdhal'), ('pdhal', 'kouta'), ('kouta', 'byk'), ('byk', 'sinyal'), ('sinyal', 'hijau'), ('hijau', 'kenapa'), ('kenapa', 'lag'), ('lag', 'skin'), ('skin', 'banyak'), ('banyak', 'lag'), ('lag', 'biarin')]"
